x,y
148,136
148,135
146,133
146,132
144,132
144,133
143,134
143,135
142,136
142,139
141,140
141,146
139,148
138,147
137,147
136,146
135,146
134,145
133,145
132,144
131,144
130,143
129,143
124,138
124,137
123,136
123,123
124,122
124,119
125,118
125,116
126,115
126,114
124,114
119,119
119,120
117,122
117,123
116,124
116,125
113,128
111,126
111,125
110,124
110,122
109,121
109,119
108,118
108,116
107,115
107,113
106,112
106,110
105,109
105,107
104,106
104,103
103,102
103,99
102,98
102,92
101,91
101,84
102,83
102,78
103,77
103,75
104,74
104,72
105,71
105,70
106,69
106,68
107,67
107,66
108,65
108,64
109,63
109,62
111,60
111,59
113,57
113,56
117,52
117,51
121,47
121,46
125,42
125,41
126,40
126,39
127,38
125,38
123,40
122,40
120,42
119,42
116,45
115,45
106,54
103,51
103,50
102,49
102,44
101,43
